timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1661081400,Aug 21 2022 - 11:30am,complete,N/A,Club Brugge,KV Kortrijk,Jan Boterberg,5,2.00,1.50,2.50,1.50,2,1,3,3,2,1,"4,45'3","33",15,2,3,0,3,1,0,3,1,3,31,10,4,3,27,7,16,12,62,38,2.68,1.06,2.75,75,75,50,25,25,25,50,75,100,8.00,5.00,1.30,5.00,9.00,1.17,1.62,2.33,4.00,1.85,1.85,Jan Breydelstadion (Brugge)
1661090400,Aug 21 2022 - 2:00pm,complete,N/A,Zulte-Waregem,Sporting Charleroi,Erik Lambrechts,5,1.50,1.50,0.75,2.00,1,3,4,2,1,1,"5","36,83,89",2,5,2,0,0,0,0,2,0,0,10,16,5,7,5,9,5,7,51,49,1.23,1.83,2.25,25,50,25,25,25,25,25,25,100,10.50,4.50,2.63,3.40,2.45,1.20,1.73,2.65,4.75,1.53,2.35,Elindus Arena (Waregem)
1661099400,Aug 21 2022 - 4:30pm,complete,N/A,Standard Liège,OH Leuven,Nathan Verboomen,5,2.00,1.50,1.75,1.75,1,3,4,2,0,2,"90'1","34,45,75",10,3,3,0,4,1,1,2,4,1,24,8,8,6,16,2,11,15,64,36,2.62,1.08,3.50,50,100,50,50,25,50,75,75,75,9.00,3.50,2.10,3.40,3.05,1.22,1.62,2.80,5.00,1.61,2.20,Stade Maurice Dufrasne (Liège (Luik))
1661108400,Aug 21 2022 - 7:00pm,complete,N/A,KV Mechelen,KVC Westerlo,Bert Put,5,1.50,0.00,1.50,0.00,5,4,9,2,1,1,"39,48,76,77,85","26,60,63,73",5,5,1,0,2,0,0,1,1,1,15,12,7,5,8,7,11,7,50,50,1.87,1.45,2.50,25,100,50,0,0,50,100,25,50,11.00,4.00,2.47,3.45,2.47,1.28,1.80,3.10,6.00,1.68,2.05,AFAS-stadion Achter de Kazerne (Mechelen (Malines))
1661539500,Aug 26 2022 - 6:45pm,complete,N/A,Sporting Charleroi,Club Brugge,Jasper Vergoote,6,1.50,1.50,1.50,2.00,1,3,4,3,1,2,"9","32,36,58",2,5,1,0,0,0,1,0,0,0,20,15,9,8,11,7,9,6,48,52,2.30,1.87,3.50,75,100,100,50,0,50,100,50,75,11.50,4.00,3.30,3.75,1.96,1.20,1.60,2.60,4.50,1.57,2.30,Stade du Pays de Charleroi (Charleroi)
1661608800,Aug 27 2022 - 2:00pm,complete,N/A,RFC Seraing,KRC Genk,Jan Boterberg,6,0.00,1.50,0.00,2.00,0,4,4,1,0,1,"","30,57,66,68",5,2,2,0,3,0,1,1,0,3,8,12,3,5,5,7,10,13,41,59,1.02,1.41,3.00,50,50,50,50,50,50,50,25,100,8.50,5.00,5.20,4.40,1.53,0.00,1.60,2.38,0.00,1.67,2.10,Stade du Pairay (Seraing)
1661616900,Aug 27 2022 - 4:15pm,complete,N/A,Cercle Brugge,Zulte-Waregem,Bram Van Driessche,6,2.00,0.50,1.67,0.67,1,1,2,2,1,1,"11","16",6,4,1,0,2,0,0,1,0,2,24,10,6,5,18,5,10,16,60,40,2.27,1.30,1.00,25,25,0,0,0,0,0,25,75,13.00,3.00,2.30,3.40,3.00,1.22,1.57,2.80,5.00,1.63,2.20,Jan Breydelstadion (Brugge)
1661616900,Aug 27 2022 - 4:15pm,complete,N/A,OH Leuven,KV Oostende,Alexandre Boucaut,6,1.50,1.50,2.00,0.75,2,1,3,1,0,1,"51,90","5",2,7,1,0,3,0,1,0,1,2,12,16,6,6,6,10,9,15,61,39,1.59,1.77,2.75,25,100,50,25,0,25,100,25,100,11.00,5.00,2.40,3.40,2.86,1.22,1.72,2.75,5.00,1.57,2.25,King Power at Den Dreef Stadion (Heverlee)
1661625900,Aug 27 2022 - 6:45pm,complete,N/A,Sint-Truiden,KV Mechelen,Wim Smet,6,0.50,0.50,1.33,0.33,3,1,4,0,0,0,"57,76,90'5","53",4,3,1,0,3,0,0,1,0,3,11,3,4,3,7,0,10,14,49,51,1.29,0.59,2.00,50,75,50,0,0,50,75,0,75,11.50,5.50,2.40,3.40,2.86,1.28,1.83,3.30,6.00,1.72,2.00,Stadion Stayen (Sint-Truiden (St.-Trond))
1661686200,Aug 28 2022 - 11:30am,complete,N/A,KAA Gent,Royal Antwerp FC,Nicolas Laforge,6,2.00,3.00,1.33,3.00,1,2,3,3,1,2,"10","15,27",6,2,3,0,3,0,1,2,1,2,16,7,5,5,11,2,12,11,53,47,1.82,0.95,2.00,50,75,25,0,0,50,75,0,50,9.00,2.50,1.97,3.65,3.40,1.25,1.75,3.10,5.50,1.68,2.05,GHELAMCO-arena (Gent)
